variable,long_name,component,experiment,frequency,vertical_levels,spatial_domain,units,start_time,end_time,path
PRECC,convective precipitation rate (liq + ice),atm,20C,monthly,1.0,global,m/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-PRECC.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,20C,monthly,1.0,global,m/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,20C,monthly,1.0,global,m/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,20C,monthly,1.0,global,m/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-PRECSL.zarr
PSL,sea level pressure,atm,20C,monthly,1.0,global,Pa,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-PSL.zarr
Q,specific humidity,atm,20C,monthly,30.0,global,kg/kg,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-Q.zarr
SHFLX,surface sensible heat flux,atm,20C,monthly,1.0,global,W/m2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-SHFLX.zarr
T,temperature,atm,20C,monthly,30.0,global,K,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-T.zarr
TMQ,total (vertically integrated) precipitable water,atm,20C,monthly,1.0,global,kg/m2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-TMQ.zarr
TREFHT,reference height temperature,atm,20C,monthly,1.0,global,K,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,20C,monthly,1.0,global,K,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,20C,monthly,1.0,global,K,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-TREFHTMX.zarr
TS,surface temperature (radiative),atm,20C,monthly,1.0,global,K,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-TS.zarr
U,zonal wind,atm,20C,monthly,30.0,global,m/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-U.zarr
Z3,geopotential height (above sea level),atm,20C,monthly,30.0,global,m,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-20C-Z3.zarr
FLNS,net longwave flux at surface,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-FLUT.zarr
FSNS,net solar flux at surface,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,CTRL,monthly,1.0,global,fraction,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-LHFLX.zarr
PRECC,convective precipitation rate (liq + ice),atm,CTRL,monthly,1.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-PRECC.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,CTRL,monthly,1.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,CTRL,monthly,1.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,CTRL,monthly,1.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-PRECSL.zarr
PS,surface pressure,atm,CTRL,monthly,1.0,global,Pa,0400-01-16 12:00:00,0446-02-17 13:16:18.871345,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-PS.zarr
PSL,sea level pressure,atm,CTRL,monthly,1.0,global,Pa,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-PSL.zarr
Q,specific humidity,atm,CTRL,monthly,30.0,global,kg/kg,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-Q.zarr
SHFLX,surface sensible heat flux,atm,CTRL,monthly,1.0,global,W/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-SHFLX.zarr
T,temperature,atm,CTRL,monthly,30.0,global,K,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-T.zarr
TMQ,total (vertically integrated) precipitable water,atm,CTRL,monthly,1.0,global,kg/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-TMQ.zarr
TREFHT,reference height temperature,atm,CTRL,monthly,1.0,global,K,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,CTRL,monthly,1.0,global,K,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,CTRL,monthly,1.0,global,K,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-TREFHTMX.zarr
TS,surface temperature (radiative),atm,CTRL,monthly,1.0,global,K,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-TS.zarr
U,zonal wind,atm,CTRL,monthly,30.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-U.zarr
Z3,geopotential height (above sea level),atm,CTRL,monthly,30.0,global,m,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-Z3.zarr
FLNS,net longwave flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FLUT.zarr
FSNS,net solar flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,HIST,monthly,1.0,global,fraction,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-LHFLX.zarr
PRECC,convective precipitation rate (liq + ice),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECC.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECSL.zarr
PSL,sea level pressure,atm,HIST,monthly,1.0,global,Pa,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PSL.zarr
Q,specific humidity,atm,HIST,monthly,30.0,global,kg/kg,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-Q.zarr
SHFLX,surface sensible heat flux,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-SHFLX.zarr
T,temperature,atm,HIST,monthly,30.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-T.zarr
TMQ,total (vertically integrated) precipitable water,atm,HIST,monthly,1.0,global,kg/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TMQ.zarr
TREFHT,reference height temperature,atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TREFHTMX.zarr
TS,surface temperature (radiative),atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TS.zarr
U,zonal wind,atm,HIST,monthly,30.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-U.zarr
Z3,geopotential height (above sea level),atm,HIST,monthly,30.0,global,m,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-Z3.zarr
FLNS,net longwave flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FLUT.zarr
FSNS,net solar flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,RCP85,monthly,1.0,global,fraction,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-LHFLX.zarr
PRECC,convective precipitation rate (liq + ice),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECC.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECSL.zarr
PS,surface pressure,atm,RCP85,monthly,1.0,global,Pa,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PS.zarr
PSL,sea level pressure,atm,RCP85,monthly,1.0,global,Pa,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PSL.zarr
Q,specific humidity,atm,RCP85,monthly,30.0,global,kg/kg,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-Q.zarr
SHFLX,surface sensible heat flux,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-SHFLX.zarr
T,temperature,atm,RCP85,monthly,30.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-T.zarr
TMQ,total (vertically integrated) precipitable water,atm,RCP85,monthly,1.0,global,kg/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TMQ.zarr
TREFHT,reference height temperature,atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TREFHTMX.zarr
TS,surface temperature (radiative),atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TS.zarr
U,zonal wind,atm,RCP85,monthly,30.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-U.zarr
Z3,geopotential height (above sea level),atm,RCP85,monthly,30.0,global,m,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-Z3.zarr
,,atm,CTRL,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
,,atm,HIST,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
,,atm,RCP85,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
,,atm,20C,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
aice_d,ice area  (aggregate),ice_nh,CTRL,daily,1.0,artic_ocean,%,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-CTRL-aice_d.zarr
hi_d,grid cell mean ice thickness,ice_nh,CTRL,daily,1.0,artic_ocean,m,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-CTRL-hi_d.zarr
aice_d,ice area  (aggregate),ice_nh,HIST,daily,1.0,artic_ocean,%,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-HIST-aice_d.zarr
hi_d,grid cell mean ice thickness,ice_nh,HIST,daily,1.0,artic_ocean,m,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-HIST-hi_d.zarr
aice_d,ice area  (aggregate),ice_nh,RCP85,daily,1.0,artic_ocean,%,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-RCP85-aice_d.zarr
hi_d,grid cell mean ice thickness,ice_nh,RCP85,daily,1.0,artic_ocean,m,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-RCP85-hi_d.zarr
aice,ice area  (aggregate),ice_nh,20C,monthly,1.0,artic_ocean,%,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-20C-aice.zarr
hi,grid cell mean ice thickness,ice_nh,20C,monthly,1.0,artic_ocean,m,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-20C-hi.zarr
aice,ice area  (aggregate),ice_nh,CTRL,monthly,1.0,artic_ocean,%,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-CTRL-aice.zarr
hi,grid cell mean ice thickness,ice_nh,CTRL,monthly,1.0,artic_ocean,m,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-CTRL-hi.zarr
aice,ice area  (aggregate),ice_nh,HIST,monthly,1.0,artic_ocean,%,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-HIST-aice.zarr
hi,grid cell mean ice thickness,ice_nh,HIST,monthly,1.0,artic_ocean,m,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-HIST-hi.zarr
aice,ice area  (aggregate),ice_nh,RCP85,monthly,1.0,artic_ocean,%,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-RCP85-aice.zarr
hi,grid cell mean ice thickness,ice_nh,RCP85,monthly,1.0,artic_ocean,m,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-RCP85-hi.zarr
,,ice_nh,CTRL,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
,,ice_nh,HIST,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
,,ice_nh,RCP85,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
,,ice_nh,20C,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
aice_d,ice area  (aggregate),ice_sh,CTRL,daily,1.0,antarctica,%,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-CTRL-aice_d.zarr
hi_d,grid cell mean ice thickness,ice_sh,CTRL,daily,1.0,antarctica,m,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-CTRL-hi_d.zarr
aice_d,ice area  (aggregate),ice_sh,HIST,daily,1.0,antarctica,%,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-HIST-aice_d.zarr
hi_d,grid cell mean ice thickness,ice_sh,HIST,daily,1.0,antarctica,m,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-HIST-hi_d.zarr
aice_d,ice area  (aggregate),ice_sh,RCP85,daily,1.0,antarctica,%,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-RCP85-aice_d.zarr
hi_d,grid cell mean ice thickness,ice_sh,RCP85,daily,1.0,antarctica,m,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-RCP85-hi_d.zarr
aice,ice area  (aggregate),ice_sh,20C,monthly,1.0,antarctica,%,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-20C-aice.zarr
hi,grid cell mean ice thickness,ice_sh,20C,monthly,1.0,antarctica,m,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-20C-hi.zarr
aice,ice area  (aggregate),ice_sh,CTRL,monthly,1.0,antarctica,%,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-CTRL-aice.zarr
hi,grid cell mean ice thickness,ice_sh,CTRL,monthly,1.0,antarctica,m,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-CTRL-hi.zarr
aice,ice area  (aggregate),ice_sh,HIST,monthly,1.0,antarctica,%,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-HIST-aice.zarr
hi,grid cell mean ice thickness,ice_sh,HIST,monthly,1.0,antarctica,m,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-HIST-hi.zarr
aice,ice area  (aggregate),ice_sh,RCP85,monthly,1.0,antarctica,%,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-RCP85-aice.zarr
hi,grid cell mean ice thickness,ice_sh,RCP85,monthly,1.0,antarctica,m,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-RCP85-hi.zarr
,,ice_sh,CTRL,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
,,ice_sh,HIST,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
,,ice_sh,RCP85,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
,,ice_sh,20C,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
FSNO,fraction of ground covered by snow,lnd,CTRL,daily,1.0,global_land,unitless,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,CTRL,daily,1.0,global_land,mm,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,CTRL,daily,1.0,global_land,mm/s,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,CTRL,daily,1.0,global_land,mm/s,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-RAIN.zarr
SNOW,atmospheric snow,lnd,CTRL,daily,1.0,global_land,mm/s,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-SNOW.zarr
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,CTRL,daily,1.0,global_land,kg/m2,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-SOILWATER_10CM.zarr
FSNO,fraction of ground covered by snow,lnd,HIST,daily,1.0,global_land,unitless,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,HIST,daily,1.0,global_land,mm,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,HIST,daily,1.0,global_land,mm/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,HIST,daily,1.0,global_land,mm/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-RAIN.zarr
SNOW,atmospheric snow,lnd,HIST,daily,1.0,global_land,mm/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-SNOW.zarr
